"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/nevendrean/code/js/tinyjs/main.js", "JavaScript", -6, 7, 0, 1
"/Users/nevendrean/code/js/tinyjs/src/tiny.js", "JavaScript", 2, -2, 0, 0
"/Users/nevendrean/code/js/tinyjs/src/todo.js", "JavaScript", 0, -1, 0, -1
"Total", "-", -4, 4, 0, 0
